vm-id,vm-name,value/power_state,value/cpu_count,value/memory_size_MiB,DatacenterID,Project,JobCode,Aplication
vm-1259,gpsc-gp-app-t01,POWERED_ON,2,8192,7,G Project,901481001488,gpsc-gp-app-t01
vm-1260,gpsc-gp-dat-t01,POWERED_ON,2,8192,7,g_project,901481001488,gpsc-gp-dat-t01
vm-2912,gpsc-ams3-p01,POWERED_OFF,2,8192,7,GPSC Asset Management System,901481001488,gpsc-ams3-p01
vm-1127,gpsc-printfollowme-cost-p01,POWERED_ON,2,8192,7,GPSC PrintFollowMe Project PDC,901482000175,gpsc-printfollowme-cost-p01
vm-1128,gpsc-printfollowme-monitor-p02,POWERED_ON,2,8192,7,GPSC PrintFollowMe Project PDC,901482000175,gpsc-printfollowme-monitor-p02
vm-16085,gpsc-rpa-p01,POWERED_ON,2,8192,7,GPSC RPA Robotic Project,901482000111,gpsc-rpa-p01
vm-4104,gpsc-bi-t01,POWERED_ON,8,16384,7,GPSC Workforce Planning BI,901481002463,gpsc-bi-t01
vm-4128,Test-IPAM,POWERED_ON,8,16384,7,GPSC Workforce Planning BI,901481002463,Test-IPAM
vm-4584,gpsc-bi-p01,POWERED_ON,8,16384,7,GPSC Workforce Planning BI,901481002463,gpsc-bi-p01
vm-3193,gpsc-amdwowza01,POWERED_ON,4,16384,7,gpsc_asset_management_system,901482000244,gpsc-amdwowza01
vm-3194,gpsc-amdapp01,POWERED_ON,4,16384,7,gpsc_asset_management_system,901482000244,gpsc-amdapp01
vm-3197,gpsc-amddb01,POWERED_ON,2,8192,7,gpsc_asset_management_system,901482000244,gpsc-amddb01
vm-4103,gpsc-etl-t01,POWERED_ON,8,16384,7,gpsc_workforce_planning_bi,901481002463,gpsc-etl-t01
vm-4122,gpsc-dl-t01,POWERED_ON,8,16384,7,gpsc_workforce_planning_bi,901481002463,gpsc-dl-t01
vm-4583,gpsc-etl-p01,POWERED_ON,8,16384,7,gpsc_workforce_planning_bi,901481002463,gpsc-etl-p01
vm-4585,gpsc-bi-p02,POWERED_ON,8,32768,7,gpsc_workforce_planning_bi,901481002463,gpsc-bi-p02
vm-4586,gpsc-bi-p03,POWERED_ON,8,32768,7,gpsc_workforce_planning_bi,901481002463,gpsc-bi-p03
vm-4587,gpsc-dl-p01,POWERED_ON,8,16384,7,gpsc_workforce_planning_bi,901481002463,gpsc-dl-p01
vm-26013,VM-E-PERMIT_merged,POWERED_ON,1,512,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,VM-E-PERMIT_merged
vm-7435,pds-ehbook-p01,POWERED_ON,4,8192,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,pds-ehbook-p01
vm-7439,gpsc-ryarc-p01,POWERED_ON,4,4096,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,gpsc-ryarc-p01
vm-7452,gpsc-db-p01,POWERED_ON,8,8192,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,gpsc-db-p01
vm-7454,gpsc-web-p02,POWERED_ON,8,8192,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,gpsc-web-p02
vm-7591,UT-PAYSLIP-S01,POWERED_ON,4,8192,7,Move Production Server to PTT Digital Cloud Wave 3,901482000111,UT-PAYSLIP-S01
